,docs,target
0,"putting them in the worst possible light . ronald reagan would not win in this era of politics . trump won cause he was willing to actually go to war with the media , even if that made him look",biden
1,there no way trump wins this election without cheating! .....again.....,trump
2,"off . please dont believe the numbers sensible americans . dont get complacent . for all our sakes , please vote , vote , vote . we need a restoring of calm and thats not trump . the stakes if",trump
3,normal americans silent majority will vote trump . and i just think that the media forget this like they did in 2016. we seen how,trump
4,"trump is a known commodity now. americans that voted for him in 2016 wanted something different and they got it, a train wreck.",biden
5,"the republican party they should have stood up to trump when he went off the rails . i will not vote for cowards , be it draft dodger or scared yes men corrupt congressmen or women .",trump
6, why trump will smash the left and win says david horowitz .,trump
7,"have seen fewer than 10 so far . i am sure , many of them will still be casting their votes for trump . but , they do not want the others to know about .",trump
8,"this stupid crap of these idiots voting with write ins , is why trump can win . it will be the fault of every one of",biden
9,the rural folks who only know fox is all he had and all he has ever had .... can not win unless you widen the base =trump is toast .,biden
10, republicans are dreaming . they are now the party of trump . do they think this is going to end,trump
11,very stuped cnn fake jucky news i voted for president trump,biden
12,"it does not matter how rr 's son thinks trump is not qualified for that position , american people voted trump in . however , it just makes me wonder how horrible the democrats are ? perhaps horrible enough",biden
13,* it 's not enough to beat trump ... we need to annihilate trump . * everyone needs to vote this time -- even if you think trump is going to lose . we need to bury trump and,biden
14,"the votes swinging toward biden because of trumps handling of the pandemic , just as planned 10 months ago . planedemic",neutral
15,i am voting and trump needs to go he is horrible!!,biden
16,yeah with the russians intervention trump might win,trump
17,"there was no way trump could win in 2016 according to cnn, nbc, abc, msn and every other leftist media. stop with the bulls#!t",trump
18,"a new name , i think . they may be loser for a 'decade ' at least because if democrats win , the justice department may very well fully 'investigate ' trump and his decisions in office . his appointed",trump
19,"not one among the patriots . learn more our country 's history , our filipino culture and tradition's.go out and vote trump !",neutral
20,no vote=a vote for trump,biden
21,"everybody best vote in person. early polling results show trump leading, especially in toss-up states.",trump
22,vote vote trump trump please for the love of your life!!!,trump
23,i hope trump does not win,biden
24,said he 's running for senator ! this country is going to be in such horrible shape if the democrats win this election ! if you hate trump that 's perfectly fine go ahead and hate his buddy guts but,biden
25,"party . there 's no longer a republican party , it 's a trump cult . trump needs to be voted out , or our nation is going to keep crumbling . i am not a republican , or a",trump
26,"i really do not understand how people would still vote for trump . i get it if you either vote all republican or all democrat , but i think",neutral
27,trump has got a new script writers ...he doesn care or understand the word. vote vote vote vote... vote for us that can not. we are coming to the promised land.,trump
28,"the problem is that some people never vote. the electoral is going to put trump back in office so it probably does not matter if you vote anyway, they always do what they want.",biden
29,the sad fact that trump still has a chance of winning says a lot about where america is now.,trump
30,the bright side is trump wins again is that i get another 4 years of watching republicans pull the biggest bs to justify whatever he does.,trump
31,i would vote for the former great president ronald reagan before trump as well.,trump
32,donald trump does not care who supports him as long as they give him money or vote for him . hell i bet if nambla openly supported or gave money to donald trump he 'd be,biden
33,if he goes talk to trump he has already made a choice either way it sways votes to that person,neutral
34,"are the 1 % , the elite , the connected . guess what , the other 99 % , is voting trump . i hope democrats get their hopes up again .",trump
35,"win . for how many anti-trump eligible voters there are , an overwhelming number of them do not care to vote . some view it as `` others will win it for me '' while other people are just too",trump
36,"the 2016 closet trump voters no longer exist.. those people are now ashamed they voted for trump in 2016, and will not in 2020.",biden
37,"if trump wins the kkk,white supremacists,racists,and worst off all russia wins",trump
38,yeah i remember using polls showed hillary was going to win 307 to trumps 179. polls are shit and are n't a good way to judge anymore . if anything,biden
39,thanku cnn for people to get and vote for trump,neutral
40,100% trump is win,trump
41,it's good the majority are voting for president donald trump.......,trump
42,it's good the majority are voting for president donald trump......,trump
43,i can stand trump but i find the msm and censorship so threatening that i will never vote for anyone cnn supports.,biden
44,cnn news super fake i am voting for president trump,trump
45,vote trump forever make liberals gag and cry again and again like in 20 16,biden
46,trump got my vote because of fake news like you,biden
47,"you snow flakes who agree with this apple who fell far from the tree are the exact reason president trump wins again and continues to move america towards the country of patriotism and honor and decency , you liberals are",trump
48,trump not the only problem the people in the white house and the republican's that support him and we need vote all of them out,trump
49,super important . trump is absolute opposite of reagan . he is the devil 's puppet and only the idiotic vote for a clown like him . bring the party of reagan and lincoln back !,trump
50,"predicted al gore would beat bush , which did not happen . he cited `` well he won the popular vote '' , yet predicted trump would win despite him losing the popular vote . he can not have it",trump
51,what is happening with trump . you are helping to destroy this country ... keep that in mind when you vote and who you vote for ! if you vote for trump or republican senators you are helping to destroy,biden
52,ronnie would have voted for trump right now. facts,neutral
53,trump doing anything to win nope his time is up,trump
54,". they are n't rushing anything through and they are not doing anything illegitimate or illegal . they have the votes , they should push it through ... the seat is open now trump is president now . you can",biden
55,trump will be winning big time as americans #makedemocratscryagain!!!,trump
56,vote for trump vote for great america,trump
57,cry me a river. trump showed everyone what he was and half of the country still voted for him.,biden
58,a presidential election year and the senate voted on them before the presidential election . the dems hope the people won know this fact and try to make it seem it an unusual thing only trump is doing . the,trump
59,trump won by cheating on the election in 2016.,trump
60,trump will do and say anything for votes no bar to high and no bar too low . law and order means zero to him he will,biden
61,the ppl who voted for trump 2016 were unsure now they are convinced. cnn will feel sick come nov 3rd .,biden
62,there is no way donald trump wins reelection. he has pissed off too many people.,biden
63,vote for trump vote for great america,trump
64,trump has proven that republicans will vote for anyone or anything wearing a red tie . neither party has been put to such a test .,biden
65,william barr of all people knows how donald operates.with lies and alibises a case of making bs up sad but true.no facts just lie after lie this is not a game. where does this end november 3 2020biden vote,biden
66,ive tuned trump out. my response will be my vote in november,neutral
67,"in 2016 cnn say same like this, but trump win the election, stop fake news man, go honest.",trump
68,trump is the best vote for trump.,trump
69,"hehehe ... trump preaching what he does not believe in ? another trick to have you run to the voting polls to vote for him . trump is not human , he does not care about you or anyone",biden
70,trump will toss a political nuke into the mix the friday before the vote is my prediction . it will be outrageous & unverifiable before the vote . it will have no validity,biden
71,"projections mean jack diddly spit, get out there and vote donald trump out! only your votes can save america from a corrupt criminal president and his equally corrupt and complicit enablers!",biden
72,"everybody just stop ? ? ? ? now listen , we all need to vote the republicans back in ? why ? ? ? ! ! ! ! ! ! ! its simple ?",trump
73,"did it for him , plain and simple . character clearly was n't an important attribute for the people who voted for that `` wreck of a man '' .",Neutral
74,i will vote for anybody to get trump out the white house,biden
75,what you gonna say in november 4 when trump wins again?. trump 437 electoral votes in 2020.,trump
76,"he sure voted with trump most of the time while in the senate, a little late now that he cant make a difference",biden
77,did not his son say explicitly that trump would not win in 2016?,neutral
78,it's onley you on cnn who can talk the biggest shit trump will win again biden whill loose again and maybe they must frow you in jail democrats is the biggest problem for america god bless trump,trump
79,trump might win again,trump
80,mission but it will not end the way he and his followers believes . trump only needs their votes to win this election . he 's got unfinished business to take care of and he can not do this if,biden
81,"how can you say this crap with a straight face, trump wins hands down",biden
82,"nobody believes your ""projection bs"" ! you did it to yourselves!pres. trump will win in a landslide!",biden
83,trump will win easily from the look of things,trump
84,so his model predicts trump wins and then refutes that. wtf?,Neutral
85,trump ...exactly what the country needed ...criticize him all you want ....he will win because the country wants it .,biden
86,i cast my first vote for president for your dad . i believe trump and your dad would have gotten along . your party,trump
87,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",biden
88,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",neutral
89,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",trump
90,tweets this . well he is right . character counts.honesty countsintegrity counts trust countscharacter counts to ur allies too.please usa vote for character this nov. love from australia,trump
91,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",biden
92,laughing so hard!! a dumb biased prof. says trump isn't inspirational and charismatic...trump will win period. mark this post,biden
93,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden
94,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,trump
95,"divided , corrupt country and for trump to get away with all but burning it down yet still have people voting for him proves that . his shenanigans shed light on what is reality and the only difference is that",Neutral
96,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden
97,hahaha trumps gonna win !,trump
98,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden