,docs,topics,target,Human Annotation
4142,to allow a democrat administration after all the corruption their leaders have pulled in years the reason trump won was to bring a business mind to the complacent politicians and hopefully it would work if it were,0,trump,Correct
9949,if donald trump wins the usa will now be an oligarchy officially and not a democracy,0,biden,Correct
16288,i have voted biden in person i have voted early,1,biden,Correct
22410,swing states could pull shenanigans because the individual states have an amazing amount of leeway in how their electoral votes are chosen and submitted they could declare having to wait beyond election day for a result is,-1,biden,Wrong
9186, do not trust the polls please vote trump out do not even for a second think trump is the underdog even though he a dog,0,biden,Correct
24009,vote trump or lose to marxism corruption uk opinion ,-1,trump,Correct
26812,if you watch cnn enough ul probly vote biden lol its democratic ofc theyl bash trump use your brains,-1,biden,Correct
14566,our former president tell all how important each and everyone make a mission to get out and vote we can put joe biden for president and vp kamala harris in the white hours in november rd ,1,trump,Wrong
10723,i think trump supporters are very proud to be voting for him this time around ,0,biden,Wrong
17399,if biden win people will be crying after losing their job due to lockdown biden will lockdown the country close,1,biden,Wrong
19320,vote trump,-1,trump,Correct
2996,it all rigged but in my opinion trump should win,0,trump,Correct
21961,all more of the same biden hollow promises i have to vote trump for my plan,-1,trump,Correct
12242,anyway november go out vote joe biden,1,biden,Correct
20417,joe take a break let obama run your campaign your surely gonna win hahahaha,-1,biden,Correct
22685,are galloping to their designated polling sites despite punitive waiting lines protracted delays in postal delivery of citizen requested voting ballots and most horrifically the unprecedented appearances of interloping menacing threats from by standing gun carrying self identified,-1,biden,Wrong
723,down your old republican party the last go round you tool do not you remember that s what won him the election oh he tore up or tore down that republican primary and debates who,0,biden,Correct
6005,why trump won in against clinton trump is a fresh face without no flaws tainted as a,0,trump,Correct
15746,time high also donald trump may create the ww if he win make sure yourself must vote for joe biden because he is the only one will safe your country and safe many people life ,1,biden,Correct
2330, every passing day till elections trump will stoop lower and lower degrade disrespect more blame vote early vote now trump out do not believe in polls like ,0,trump,Wrong
16381,vote joe biden ,1,biden,Correct
15806,to the confirmed national poll say the numbers are proportional to the total number of eligible americans who can vote in the u s roughly million this means that biden is ahead on the polls about more,1,biden,Correct
13101,imma just hold onto this incase biden wins,1,biden,Correct
6910,trump in final stretch pursues new opportunities to reach electoral votes the washington post,0,biden,Correct
13781,of that fool trump just does not bear thinking about please america go out in your millions and vote biden not just for your once great nation but for the rest of us around the world,1,biden,Correct
25582,if hinter takes millions from china and other countries it s automatically applied to his father here we go vote for traitor joe by the way they are not journalists always bringing only one side and not,-1,biden,Wrong
4377,trump is a liar you all know it why vote for him vote ,0,trump,Wrong
3770,fake news don believe it vote trump for a free america ,0,trump,Correct
11947,vote biden he supports blm ,1,biden,Correct
12180, or any of the msm for that matter everyone knows that biden is a tool nobody is voting for biden they re voting against president trump ,1,trump,Wrong
25181,of wealth for black ppl but trump is a opportunist isnt genuine he s reaching out for votes for his campaign to serve another yr term as president,-1,trump,Wrong
8325,mandate masks and force a mandatory untested covid vaccine compliments of the serial killer bill gates vote in person and vote trump ,0,biden,Wrong
6290, the only thing certain is that many trump voters wont say that they vote for him because of shame so try to get as many people as possible to vote for the,0,biden,Correct
12495,this is why he needs to be voted out biden ,1,biden,Wrong
26423,should be ashamed of herself she sold her christianity and her soul to trump i think even if biden wins by a landslide trump will think that it was cheating in demand the supreme he wants to sue ,-1,biden,Correct
8724,i won be surprise if trump win this year,0,biden,Wrong
9049,cnn king of fake and distorted news never once said trump does anything right that s why we must vote for trump give him more time trump is number one,0,trump,Correct
2579,disliked and i voted for trump again,0,trump,Correct
26055,joe biden is a goof that voted for nafta which devastated the manufacturing industry in the rust belt states president trump brought the lowest unemployment,-1,trump,Correct
17109,i voted for trump because if by some reason biden gets in because of fowl play ,1,trump,Correct
6812,the good news even cnn has to have this headline trump wins election eat that cnn ,0,biden,Wrong
17875,interesting how they prime you to believe biden will win hahahahaha they must love their job lol,1,biden,Correct
1049,adolfo hitler murdered million jewish people trump is spreading false advertisement and false claims about covid america vote this lying and reckless trump and the republicans out of office i am a united states veteran and,0,trump,Wrong
2276,a vote for trump is a vote for corona choose wisely my people,0,trump,Wrong
18318,trump gets electoral votes and biden gets ,1,trump,Correct
13707,i am and voting for the first time in my life biden has my vote oh and just to shove it in the republicans face i am doing it by mail ,1,trump,Wrong
23992,the democrats burnt down and looted my daughters clothing store they have been terrorising our community for months on end that why i voting trump and red for the first time ever ,-1,trump,Correct
3821,yourself and your country and claim your rights defend constitution of the united states of america and your state vote the democrats out office trump straight republican ticketgod bless america again,0,trump,Correct
9043, if this guy thinks everything will be rosy just because trump get loser he s delusional it ,0,biden,Correct
10013,i do not care who wins because they are both terrible and i can not believe people are taken a pandemic lightly i,0,biden,Wrong
21189,biden won the debate this is the true ,-1,biden,Correct
16335,please drop your ballot yourself please vote massively early for joe biden,1,biden,Correct
10019,a plan for anything his plan is to tell the moronic public anything they want to hear to get votes then do nothing look at joe biden failed presidential runs he is washed up at,0,trump,Correct
5081,i ve already voted and donated money so that hopefully after january we will no longer hear about trump in the news ,0,biden,Correct
13701,if you do not know who to vote for at this point you are just dumb one guy is racist sexist and hates anyone that is not rich and or kissing his butt the other is joe biden ,1,biden,Correct
20790,remember trump got voted in because of obama ,-1,trump,Correct
11993,vote president trump he s the best president since george washington do not believe fake news cnn and the mainstream hypnotic media joe biden has nothing to offer america,1,trump,Correct
11245,republicans go and vote with your friends and family vote for america vote for trump have a safe and fun election day,0,trump,Correct
5357,trump supporters are dangerously stupid and gullible never underestimate stupid people in large groups in this case it s nearly half of the voting population ,0,biden,Correct
3757,donald trump is the author of qanon he did it so the gullible and stupid would vote for him he is a con man,0,trump,Wrong
27335,a racist i guess joe is a village simpleton and is racist because he said if you vote for donald trump you ai n t black ,-1,biden,Wrong
9290,it would be the worst thing that ever happened to america freedom to vote and to have a clear winner without interference from the trump administration etc is essential to our country s survival ,0,biden,Correct
3385,trump is going to win by a landslide thanks to this angry old man trump ,0,trump,Correct
6247,l g get trump to help you financially get out and vote if you can ,0,trump,Correct
10110,trump has to win in order to destroy the usa the writing is on the wall,0,biden,Correct
3920,vote trump from europe,0,trump,Correct
6462,and has given us bush and trump presidential elections need to be truly democratic one person one vote today it takes and a half california votes to equal one wyoming vote fix this,0,biden,Correct
24836,mail in voting is the biggest fraud ever in us history just a few weeks ago they found trump ballots dumped next to a creek vote in person,-1,biden,Correct
10284,well there you have it people trump is going to win again how terrible for u guys,0,trump,Correct
22377,the silent trump votes will be from mostly cubans venezuelans anyone who left their countries to usa from,-1,biden,Correct
4510,fake polls trump is ahead by votes in pennsylvania what a joke cnn is ,0,trump,Correct
13445,biden won this hands down biden ,1,biden,Correct
20375,vote for joe biden if you want america become venezuela and controlled by china ,-1,trump,Correct
18027, l vote for biden,1,biden,Correct
25383,my brother believed in trump he is now fighting for his life with covid vote for a leader biden ,-1,trump,Wrong
22843,obama give it up your a has been stop trying to manipulate people to vote for biden biden is not a good candidate for president hes a sell out just like you ,-1,trump,Correct
22599,florida friends help save our country vote blue down the ticket texas ready to side swipe the trump guy stay safe,-1,biden,Correct
10998,bottom line go out and vote for your candidate for me and my house we prefer to have money in the bank and food on,0,biden,Wrong
17046,with president trump accomplishments the combined persona of biden harris is so weak an unappealing that president trump will probably win by the largest landslide in political history y realize that the dems have put two of the biggest,1,biden,Wrong
1708,it will only get worse like its doing right nowso please help out our sisters and brothers of america and vote for someone that cares if people die everyday and who cares about how the people of our country are,0,biden,Correct
14524,vote vote and vote for biden and kamala ,1,biden,Correct
24042,laptop of hunter and the emails that bobulinski has is overwhelming there is no way i am going to vote for traitor joe now i am so glad this come out before election day i am so,-1,biden,Correct
21120,wow biden surpass trump on a whole different level on todays debate i was going to vote for trump again but this debate made me change my mind biden for the win ,-1,biden,Correct
7889,how could some one vote for the same people and expect a different result or improvement do some research dont be lazy you dont,0,biden,Correct
26595,trump will win wisconsin pennsylvania michigan texas florida cnn is fake news fake polls play your predictions back on november th,-1,trump,Correct
2640,coronavirus people never got the help they needed it s time to end this insane president vote for the democrats ,0,biden,Correct
13724,for president if joe biden cheat his way into the white house which is the only way he can win within the first year the democrats will use the th amendment to push him out so this lunatic can,1,trump,Correct
3907,trump will win no question,0,trump,Correct
11196,polls will trick you trump will win tmr an you lot will start destroying everything like spoilt children,0,trump,Correct
24820,and be happy no more whining rbe a chimerican the freedom of choice rsuburban women vote for biden so your kids will grow up as a chimerican rlots of people eyeing on,-1,trump,Correct
4299,if by now you aren t sure for whom to vote maybe voting isn t for you f ing idiots trump has done nothing in years except making things worse pre covid and during,0,biden,Correct
17483,trump has united some of us because he is so bad many republican women are voting for biden ,1,biden,Correct
7733,if trump won this election cnn will be close fared go back to ur county ok,0,trump,Correct
20619,stfu you did nothing black america and we not voting for him crow joe either blah blah blah blah,-1,biden,Wrong
16406,i am voting biden regardless,1,biden,Correct
13751,why do they hate him so much and give biden a pass on everything i so glad i waited to vote we need a serious talk about what is going on with the media,1,trump,Correct
727,hopefully this evil trump will get kicked out not voted in a next few weeks this narcissist wants us all dead ,0,biden,Correct
18413,so stupid if vote for biden nh ai kh xf ng c xf xf c m vote cho biden m t xean l xe m ch xednh tr g,1,biden,Correct
11294,things feel different because people have woken up loser the democratic mayor s and governor s that funded and supported rioting and looting they only got there because too many americans did not vote trump ,0,trump,Wrong
23675,wooops you messed up the majority of doctors are voting for president trump did u see the no college ya do u think the doctors want that insurance the democrats are pushing no,-1,biden,Wrong